Прізвище,Ім'я,По батьковій,Стать,Дата народження,Посада,Місце проживання,Адрес проживання,Телефон,Email
Сімашкевич,Павло,Антонович,male,1961.8.7,Кур'єр,парк Проектний 5-,"парк Проектний 5-й, буд. 266 кв. 4, Нововолинськ, 94069",380597818182,vadym77@example.com
Жадан,Аліна,Тарасівна,female,1945.2.20,Агроном,провулок Мацієвської узві,"провулок Мацієвської узвіз, буд. 8, Сторожинець, 94722",380655701927,zandrusenko@example.net
Устенко,Августин,Зорянович,male,2007.3.27,Ходить до школи,парк Дорожн,"парк Дорожня, буд. 19, Снятин, 71169",380820849187,havryshalla@example.net
Токар,Орися,Павлівна,female,1968.7.2,Патологоанатом,проспект Дорожн,"проспект Дорожня, буд. 201, Свалява, 22296",380879995494,iemelianenkoruslan@example.com
Шамрай,Георгій,Олександрович,male,1996.11.12,Електрослюсар,парк Студентський 2-,"парк Студентський 2-й, буд. 708, Пологи , 61998",380851429256,heorhii16@example.net
Ільченко,Лесь,Аркадійович,male,1981.3.29,Підприємець,парк Пестел,"парк Пестеля, буд. 6, Бережани, 29571",380533390919,danperepelytsia@example.com
Чекалюк,Амалія,Данівна,female,2002.5.3,Візажист,сквер Рівност,"сквер Рівності, буд. 5 кв. 7, Сколе, 01044",380935614798,ihorverkhola@example.org
Салій,Вадим,Максимович,male,1970.12.6,Фермер,проспект Спортивн,"проспект Спортивна, буд. 592 кв. 67, Городня, 68508",380609049985,iatsenkolevko@example.org
Оніщук,Марія,Антонівна,female,1955.6.10,Актор,площа Одеськ,"площа Одеська, буд. 70 кв. 502, Мостиська, 15808",380810756459,spas16@example.net
Андріїшин,Леон,Леопольдович,male,1997.8.7,Електрослюсар,узвіз Дуков,"узвіз Дукова, буд. 044, Городище , 97782",380689089266,nazar30@example.com
Калениченко,Захар,Тимофійович,male,1963.7.27,Драматург,сквер Чубаївськ,"сквер Чубаївська, буд. 467, Винники, 88823",380890250950,hkonoplenko@example.org
Атаманюк,Оксана,Лесівна,female,1944.3.5,Диригент,проспект Головківськ,"проспект Головківська, буд. 8, Монастирище, 73367",380748685165,kovaliukkyrylo@example.com
Перепелиця,Теодор,Мартинович,male,1945.12.7,Кухар,провулок Ярморочна площ,"провулок Ярморочна площа, буд. 619 кв. 750, Решетилівка, 96782",380523061229,makarsirko@example.com
Ґерета,Анастасія,Адамівна,female,1958.4.18,Громадський діяч,проспект Полунични,"проспект Полуничний, буд. 688 кв. 86, Яремче, 24188",380557923226,roksolana73@example.com
Якименко,Амвросій,Августинович,male,2000.5.30,Диригент,вулиця Романтични,"вулиця Романтичний, буд. 36, Антрацит , 59521",380800669007,nataliiatokar@example.com
Лубенець,Пилип,Миронович,male,1966.11.18,Кур'єр,провулок Любашівськи,"провулок Любашівський, буд. 75 кв. 85, Рожище, 05240",380701612184,zorian87@example.com
Тесля,Єлисавета,Пилипівна,female,1968.10.10,Гірничий інженер,шосе Житков,"шосе Житкова, буд. 0, Миргород, 01927",380956408243,iustyna98@example.net
Данилюк,Симон,Семенович,male,1939.4.25,Художник,узвіз Кісельова Ігор,"узвіз Кісельова Ігоря, буд. 1 кв. 433, Радехів, 73972",380989489199,danyloandrusenko@example.com
Токар,Вікторія,Романівна,female,1967.11.27,Бібліограф,шосе Лютеранськи,"шосе Лютеранський, буд. 352 кв. 3, Брянка, 14032",380941989299,hordiiishchak@example.com
Малик,Леон,Варфоломійович,male,2005.7.3,Палеонтолог,парк Строганов,"парк Строганова, буд. 6, Хирів, 72067",380802645619,ielysavetashylo@example.net
Романчук,Єфрем,Семенович,male,1985.1.4,Гицель,шосе Амундсен,"шосе Амундсена, 1-й, буд. 4 кв. 1, Вишгород, 15521",380513668848,artymiaroslava@example.org
Безбородько,Ада,Макарівна,female,1987.4.22,Няня,узвіз Куяльницький міс,"узвіз Куяльницький міст, буд. 7, Феодосія, 42501",380523824112,ybaidak@example.com
Сацюк,Валентин,Гаврилович,male,1965.4.29,Кінорежисер,площа Пересипська 8-м,"площа Пересипська 8-ма, буд. 5, Слов'янськ, 46779",380854844939,udeineko@example.org
Бабак,Вікторія,Валентинівна,female,1977.1.17,Патологоанатом,узвіз Одарі,"узвіз Одарія, буд. 564 кв. 35, Лиман , 49616",380805275625,solomiiahaivoronskyi@example.net
Артюх,Андрій,Олександрович,male,1991.1.5,Акушер,площа Алмазн,"площа Алмазна, буд. 337 кв. 865, Радивилів, 96089",380742933854,oleh38@example.org
Базавлученко,Єлисей,Георгійович,male,1983.1.26,М'ясник,площа Льва Толстог,"площа Льва Толстого, буд. 32 кв. 2, Ужгород, 70458",380862283351,bashpolchenkotereza@example.org
Перебийніс,Любов,Демидівна,female,1995.10.6,Модель,вулиця Писарев,"вулиця Писарева, буд. 8, Алупка, 49928",380659868349,liliiahavrysh@example.org
Зубко,Руслан,Арсенович,male,1994.5.5,Співак,сквер Степн,"сквер Степна, буд. 4 кв. 799, Бар, 08983",380684945514,zlatoslava07@example.com
Бандурка,Любов,Георгіївна,female,1953.1.1,Музичний редактор,сквер Богдана Хмельницьког,"сквер Богдана Хмельницького, буд. 427 кв. 38, Роздільна, 12363",380879202554,dankomakar@example.net
Шинкаренко,Павло,Альбертович,male,1995.9.30,Футболіст,шосе Корнюшин,"шосе Корнюшина, буд. 3, Вознесенськ, 87824",380859803054,priskabaida@example.org
Адамчук,Демʼян,Адамович,male,2007.2.25,Ходить на підробіток та дошколи,набережна Бузков,"набережна Бузкова, буд. 4 кв. 3, Сніжне, 06391",380725190512,bohdanna25@example.com
Іщенко,Орися,Богодарівна,female,2002.4.10,Швачка,парк Павлов,"парк Павлова, буд. 7, Малин, 04468",380958665130,ckharchenko@example.com
Батуринець,Соломон,Омелянович,male,1979.12.19,Фрілансер,площа Прокатн,"площа Прокатна, буд. 20 кв. 52, Біла Церква, 35535",380811482183,roksolana78@example.net
Яремків,Роксолана,Яремівна,female,2001.10.11,Візажист,площа Восьмого березня 4-,"площа Восьмого березня 4-й, буд. 52, Могилів-Подільський, 39206",380588080490,dvatamaniuk@example.com
Ісаєнко,Валентин,Романович,male,1970.3.15,Клавішник,площа Привокзальни,"площа Привокзальний, буд. 16 кв. 454, Білгород-Дністровський, 30437",380609414442,stepan01@example.com
Гречко,Венедикт,Ярославович,male,1955.3.4,Агроном,вулиця Офіцерський 2-,"вулиця Офіцерський 2-й, буд. 805 кв. 557, Новояворівськ, 23970",380728775352,hannashylo@example.org
Франчук,Валентина,Арсенівна,female,1979.6.15,Кур'єр,вулиця Нахімов,"вулиця Нахімова, буд. 8, Городок, 99917",380860256347,hunkofedir@example.com
Вітрук,Арсен,Стефанович,male,1939.8.14,Епідеміолог,провулок Дубов,"провулок Дубова, буд. 92 кв. 129, Світлодарськ, 33365",380531201313,solomiialesyk@example.net
Тимчук,Еріка,Григоріївна,female,1950.12.26,Гірник,сквер Бахчев,"сквер Бахчева, буд. 85 кв. 5, Червоносів, 62358",380834814766,zlatoslavaiurchuk@example.com
Дутка,Аркадій,Азарович,male,1987.1.9,Математик,парк Проїзний 2-,"парк Проїзний 2-й, буд. 55, Канів, 15905",380850195625,derehuslarysa@example.org
Лесик,Демид,Яремович,male,1955.9.7,Бухгалтер,площа Зернов,"площа Зернова, буд. 48 кв. 82, Ірміно, 83727",380817391990,alinaazhazha@example.org
Алексеєнко,Роксолана,Костянтинівна,female,1960.9.12,Зоолог,парк Гвоздичн,"парк Гвоздична, буд. 7, Помічна, 62295",380822295663,parmen56@example.net
Євтушенко,Вʼячеслав,Костянтинович,male,1963.6.10,Паралегал,проспект Рельєфн,"проспект Рельєфна, буд. 18 кв. 402, Тиврів, 94681",380950201075,iereskovladyslav@example.com
Ващук,Надія,Вʼячеславівна,female,1964.11.25,Кінокритик,узвіз Ковилови,"узвіз Ковиловий, буд. 0 кв. 424, Харцизьк, 85939",380525135095,havrylyshynavhustyn@example.com
Євдокименко,Сергій,Веніяминович,male,1983.4.9,Лікар,сквер Перший Кришталеви,"сквер Перший Кришталевий, буд. 033, Чистякове, 81300",380864417432,aprotsenko@example.com
Засядько,Опанас,Захарович,male,1985.10.19,Архітектор,вулиця Проектований 4-,"вулиця Проектований 4-й, буд. 267, Старий Самбір, 11410",380832054274,myroslav20@example.com
Андріїшина,Клавдія,Прохорівна,female,1978.11.24,Соціолог,провулок Генуезьк,"провулок Генуезька, буд. 458 кв. 33, Севастополь, 79500",380841046639,vernydubherman@example.org
Охріменко,Едуард,Веніяминович,male,1976.1.4,Економіст,площа Середньофонтанськи,"площа Середньофонтанський, буд. 96, Чорноморськ, 12933",380673872865,zhuchenkoiustym@example.net
Вишняк,Єлисавета,Сергіївна,female,1940.4.30,Кінорежисер,вулиця Вєтров,"вулиця Вєтрова, буд. 3 кв. 970, Могилів-Подільський, 12966",380975178250,antonavramenko@example.net
Лукаш,Олекса,Геннадійович,male,1996.12.29,М'ясник,шосе Селекційни,"шосе Селекційний, буд. 17 кв. 95, Монастириська, 25115",380719320019,gzabara@example.org
Онуфрієнко,Єлисей,Павлович,male,2002.6.29,Юрист,провулок Молодіжн,"провулок Молодіжна, буд. 677 кв. 1, Сватове, 64627",380754143625,panas41@example.net
Яценюк,Богуслава,Вʼячеславівна,female,1977.7.16,Режисер,парк Лютневий 1-,"парк Лютневий 1-й, буд. 2, Тростянець, 78652",380598204567,konyshchenko@example.org
Палій,Руслан,Сергійович,male,1977.1.11,Гірник,шосе Салтикова-Щедрін,"шосе Салтикова-Щедріна, буд. 5, Макіївка, 73584",380614533714,zhaliloviktoriia@example.net
Перебийніс,Ярослава,Демʼянівна,female,1951.9.29,Фізик,шосе Степн,"шосе Степна, буд. 1 кв. 8, Золотоноша, 71358",380879181596,bshtokalo@example.org
Девдюк,Богодар,Ростиславович,male,1993.9.6,Редактор,площа Шостої 2-,"площа Шостої 2-й, буд. 211, Світлодарськ, 26359",380850995752,lysenkosviatoslav@example.com
Канівець,Йосип,Тимофійович,male,1969.7.7,Лікар,провулок Нахімов,"провулок Нахімова, буд. 22 кв. 06, Кам'янка-Бузька, 20441",380994784606,demianzabarnyi@example.net
Лемешко,Оксана,Лукʼянівна,female,1964.5.20,Швачка,вулиця Багрицьког,"вулиця Багрицького, буд. 76, Іллінці, 06749",380664300547,fturkalo@example.org
Абраменко,Миколай,Юстимович,male,1979.7.2,Провізор,вулиця Пересипська 4-т,"вулиця Пересипська 4-та, буд. 96, Нове Давидково, 60761",380868922251,devdiukboryslav@example.net
Гупало,Роксолана,Тарасівна,female,1969.2.5,Кур'єр,сквер Нескучн,"сквер Нескучна, буд. 74 кв. 7, Рубіжне, 59280",380511421640,riabetshavrylo@example.com
Дутка,Руслан,Микитович,male,1983.10.27,Живописець,парк Академіка Філатов,"парк Академіка Філатова, буд. 569, Білогірськ, 60031",380850973913,esachenko@example.net
Царенко,Ігор,Єлисейович,male,1991.1.28,Мовознавець,сквер Новоукраїнськи,"сквер Новоукраїнський, буд. 986, Яремче, 47155",380581512756,pavlo73@example.net
Ґоляш,Емілія,Остапівна,female,1946.9.28,Пекар,проспект Дачний 1-,"проспект Дачний 1-й, буд. 62 кв. 688, Лебедин, 26657",380924723483,fshevchenko@example.net
Андрусенко,Святослав,Глібович,male,1964.1.27,Гірничий інженер,провулок Доков,"провулок Докова, буд. 74 кв. 4, Кам'янець-Подільський, 50013",380738460278,cbashpolchenko@example.net
Демʼяненко,Богданна,Андріївна,female,1952.1.22,Філолог,площа Хімічн,"площа Хімічна, буд. 902 кв. 52, Ладижин, 49971",380697123886,esavenko@example.org
Ґерус,Євген,Русланович,male,1982.8.6,Кінолог,площа Садова 1-ш,"площа Садова 1-ша, буд. 14, Прип'ять , 59443",380626425538,hrechkonazar@example.net
Базавлученко,Віктор,Лукʼянович,male,1957.12.16,Футболіст,сквер Кавказьк,"сквер Кавказька, буд. 47, Південне , 73474",380729502470,xbabych@example.net
Цюцюра,Галина,Богуславівна,female,1943.12.29,Письменник,набережна Глинян,"набережна Глиняна, буд. 1 кв. 7, Любомль, 57061",380920329430,solomon41@example.net
Ніколюк,Леонтій,Георгійович,male,1974.10.22,Біолог,провулок Дерибасівськ,"провулок Дерибасівська, буд. 5, Узин, 34329",380605617532,okseniia19@example.com
Чумаченко,Мілена,Ігорівна,female,2000.10.27,Інженер,вулиця Василя Кандинського 3-,"вулиця Василя Кандинського 3-й, буд. 91, Петрово-Красносілля, 35527",380966719682,xderiazhna@example.org
Тарасенко,Тарас,Олександрович,male,2000.3.7,Бухгалтер,площа Жолкова Борис,"площа Жолкова Бориса, буд. 731 кв. 03, Кальміуське, 11953",380669674454,zoriandashkevych@example.com
Москаль,Пантелеймон,Пилипович,male,1981.8.11,Економіст,сквер Лінія 54-т,"сквер Лінія 54-та, буд. 5, Святогірськ, 95900",380604293350,iustymchuiko@example.org
Туркало,Лілія,Стефанівна,female,1996.6.18,Композитор,провулок Шкодова гор,"провулок Шкодова гора, буд. 5, Рогатин, 23484",380728490192,demian67@example.net
Зубко,Ігор,Григорійович,male,1944.1.29,Ветеринар,набережна Пляжн,"набережна Пляжна, буд. 559 кв. 31, Армянськ, 60435",380764323225,vshevchenko@example.net
Вівчаренко,Ірина,Назарівна,female,1953.9.20,Психолог,проспект Лютневий 2-,"проспект Лютневий 2-й, буд. 841 кв. 902, Гайворон, 61833",380911427106,kovpakivan@example.org
Сіробаба,Нестор,Альбертович,male,1975.6.14,Фольклорист,узвіз Першотравневий 1-,"узвіз Першотравневий 1-й, буд. 7, Щолкіне, 92088",380684553756,nvakulenko@example.org
Бандура,Аркадій,Леонтійович,male,1961.6.20,Кур'єр,парк Госпітальни,"парк Госпітальний, буд. 02, Лисичанськ, 65310",380503516539,svitlana25@example.org
Бабиченко,Ярослава,Демидівна,female,1968.8.5,Дерун,узвіз Запорізьк,"узвіз Запорізька, буд. 847, Гадяч, 17859",380658890541,aieshchenko@example.net
Коваленко,Борис,Лукʼянович,male,1964.11.16,Гірничий інженер,провулок Флотськ,"провулок Флотська, буд. 67, Вільногірськ, 79370",380796212073,viktordanchuk@example.net
Їжак,Емілія,Семенівна,female,1964.7.22,Фольклорист,вулиця Амбулаторни,"вулиця Амбулаторний, буд. 807, Зоринськ, 79336",380965957657,taras42@example.org
Франчук,Степан,Георгійович,male,1994.1.3,Скульптор,провулок Селищн,"провулок Селищна, буд. 54, Сколе, 95882",380954144448,trokhymsahal@example.org
Проценко,Олекса,Демʼянович,male,2003.9.6,Педагог,парк Слав,"парк Слави, буд. 0, Лутугине, 80473",380716741132,leopold50@example.com
Кибкало,Марта,Богуславівна,female,1995.2.21,Дерун,площа Манежни,"площа Манежний, буд. 530 кв. 651, Лубни, 81141",380885957250,klymentaverchenko@example.org
Ящук,Владислав,Остапович,male,2002.5.17,Драматург,шосе Лазурний 5-,"шосе Лазурний 5-й, буд. 9, Лутугине, 95602",380745266870,arsen44@example.net
Данильчук,Соломія,Францівна,female,1965.12.23,Геолог,проспект Картамишевськи,"проспект Картамишевський, буд. 636, Новий Буг, 67416",380898674099,kostiantynfareniuk@example.net
Колодуб,Герман,Пилипович,male,2000.12.13,Кінорежисер,проспект Маринеско узві,"проспект Маринеско узвіз, буд. 01, Полтава, 37057",380957905348,xmakarenko@example.org
Лавренко,Тимофій,Вадимович,male,1990.10.13,Конструктор,сквер Карантинн,"сквер Карантинна, буд. 2, Буча, 76966",380679370432,khudiaksolomiia@example.net
Юрчишина,Лілія,Олегівна,female,1999.12.12,Електромонтажник,набережна Юхима Фесенк,"набережна Юхима Фесенка, буд. 091 кв. 0, Городок, 71660",380766467098,romanenkozynovii@example.com
Фоменко,Святослав,Миронович,male,1986.10.27,Кінокритик,узвіз Іцхака Рабін,"узвіз Іцхака Рабіна, буд. 036 кв. 77, Новогродівка, 24652",380675717978,veniiamynzhaivoron@example.org
Оліфіренко,Аліна,Вʼячеславівна,female,1954.2.7,Акушер,парк Тюльпанни,"парк Тюльпанний, буд. 795, Коростень, 74382",380542686790,stepanvyshyvana@example.org
Наливайко,Богдан,Йосипович,male,1939.10.9,Сценарист,парк Маланов,"парк Маланова, буд. 561, Соледар, 32306",380911629091,tkorolenko@example.net
Перебийніс,Августин,Юстимович,male,1961.3.27,Співак,набережна Зелен,"набережна Зелена, буд. 81, Миколаївка , 91678",380645712163,milenaprykhodko@example.net
Батіг,Орина,Святославівна,female,1938.6.18,Фрілансер,парк Вєтров,"парк Вєтрова, буд. 9, Козятин, 08318",380629472967,nestaikomaryna@example.org
Даньків,Веніямин,Ігнатович,male,1995.5.16,Державний службовець,узвіз Купрін,"узвіз Купріна, буд. 317, Апостолове, 05220",380761034985,orkhypvakarchuk@example.net
Баклан,Алла,Прохорівна,female,1939.8.9,Стропальник,проспект Полтавськ,"проспект Полтавська, буд. 1 кв. 99, Джанкой, 49842",380745368728,tkachenkomykhailo@example.org
Байдак,Михайло,Григорійович,male,1974.1.28,Геолог,проспект Сашка Хорошенк,"проспект Сашка Хорошенка, буд. 1 кв. 9, Гайворон, 56682",380533346822,fprymachenko@example.org
Корпанюк,Костянтин,Миколайович,male,1947.11.27,Етнограф,парк Василя Кандинськог,"парк Василя Кандинського, буд. 5, Луганськ, 54711",380965493879,amaliia86@example.org
Шовкопляс,Еріка,Романівна,female,1958.7.3,Реабілітолог,парк Дачний 1-,"парк Дачний 1-й, буд. 940 кв. 15, Гайворон, 67065",380507548893,khoma62@example.net
Ісаєнко,Едуард,Стефанович,male,1977.8.14,Паралегал,площа Слав,"площа Слави, буд. 5, Кропивницький, 51804",380903798929,mavdieienko@example.com
Фаренюк,Христина,Максимівна,female,1957.1.23,Секретар,вулиця Транспортн,"вулиця Транспортна, буд. 795, Васильків, 83040",380969884931,gdashenko@example.org
Гречаник,Гліб,Леопольдович,male,1989.9.11,Випробувач,набережна Солонцювати,"набережна Солонцюватий, буд. 893 кв. 24, Соснівка , 09695",380836183084,okseniiasaienko@example.org
Перебийніс,Гаврило,Олексович,male,2005.3.23,Фармацевт,парк Качалов,"парк Качалова, буд. 01 кв. 3, Довжанськ, 14850",380678980639,milena21@example.net
Чуйко,Вікторія,Бориславівна,female,1984.4.23,Водій,шосе Новгородськ,"шосе Новгородська, буд. 65 кв. 23, Алмазна, 95978",380532620091,prytuladavyd@example.org
Ярема,Гаврило,Степанович,male,1962.8.8,Археолог,узвіз Овідіопольськ,"узвіз Овідіопольська, буд. 84, Вишневе , 84050",380990819824,yiarosh@example.net
Швачко,Богданна,Павлівна,female,1957.8.18,Електрик,площа Спортивни,"площа Спортивний, буд. 165, Білогірськ, 81248",380881057563,tetianashelest@example.net
Цимбалюк,Єфрем,Тимофійович,male,2007.5.30,Ходить до школи,набережна Армійськ,"набережна Армійська, буд. 486 кв. 81, Могилів-Подільський, 55267",380555084812,okhrimpoltavets@example.com
Шаповал,Августин,Ігорович,male,1940.4.9,Нотаріус,парк Садова 5-т,"парк Садова 5-та, буд. 693, Каховка, 08206",380690542281,bzhuravel@example.net
Радченко,Едита,Леопольдівна,female,1955.2.20,Пілот,вулиця Лїнія 1-ш,"вулиця Лїнія 1-ша, буд. 5 кв. 93, Прилуки, 55268",380916937018,vmedvedenko@example.net
Данилюк,Федір,Демидович,male,1985.8.26,Краєзнавець,сквер Леонов,"сквер Леонова, буд. 1 кв. 89, Черкаси, 11799",380553787106,ukorolenko@example.org
Ящук,Мілена,Демʼянівна,female,1947.1.10,Літературознавець,вулиця Велика Арнаутськ,"вулиця Велика Арнаутська, буд. 8 кв. 86, Глухів, 09779",380771168537,lmazepa@example.net
Забара,Азар,Леонідович,male,1951.10.14,Кінолог,площа Тепличний 2-,"площа Тепличний 2-й, буд. 3, Нова Каховка, 08451",380799262925,hordiikharchenko@example.net
Андрієнко,Артем,Богуславович,male,1955.2.26,Краєзнавець,сквер Львівськи,"сквер Львівський, буд. 5 кв. 067, Чернівці, 66616",380827599908,roman74@example.org
Колесниченко,Богданна,Данівна,female,1960.8.4,Будник,провулок Південна дорог,"провулок Південна дорога, буд. 8, П'ятихатки, 69193",380732575688,veniiamyn00@example.net
Василенко,Віталій,Демидович,male,1941.7.28,Ґрунтознавець,парк 4-та Лінія 6-й ст. Люстдорфської дорог,"парк 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 4 кв. 5, Сновськ, 49217",380804742472,ihnat72@example.net
Засядько,Златослава,Леопольдівна,female,1992.4.18,Дерун,шосе Заводська 3-т,"шосе Заводська 3-тя, буд. 8, Таврійськ, 75715",380612620812,illiababych@example.net
Тригуб,Степан,Юстимович,male,1982.10.2,Золотар,проспект Сабанськи,"проспект Сабанський, буд. 395, Чоп, 48265",380860305755,thabelko@example.org
Деревʼянко,Сергій,Орестович,male,1940.5.18,Флорист,вулиця Нахімов,"вулиця Нахімова, буд. 051, Белз, 06236",380925992176,zhurbahalyna@example.com
Швачка,Данна,Аврелійовна,female,1998.11.26,Історик,провулок Володимира Хавкін,"провулок Володимира Хавкіна, буд. 457, Сіверськ, 31082",380855856260,vakulenkofrants@example.com
Гавриш,Євген,Юхимович,male,1975.9.27,Шериф,шосе Побратимі,"шосе Побратимів, буд. 2, Тиврів, 18562",380588799440,avreliiisaienko@example.net
Дергач,Богуслава,Богданівна,female,1950.8.15,Літературознавець,сквер Віри Інбе,"сквер Віри Інбер, буд. 70, Чорнобиль, 12998",380886789447,zzhuchenko@example.org
Жаліло,Захар,Артемович,male,1974.1.25,Секретар,площа Водопровідний 2-,"площа Водопровідний 2-й, буд. 849 кв. 260, Кадіївка, 47394",380770643929,stepan58@example.org
Артимишин,Богодар,Аркадійович,male,1979.11.15,Пекар,узвіз Краснослобідськи,"узвіз Краснослобідський, буд. 453, Чернігів, 88678",380767903693,romanbabko@example.net
Жученко,Галина,Ігнатівна,female,1962.4.10,Модель,площа Ризьк,"площа Ризька, буд. 2 кв. 57, Болехів, 94611",380575099641,arkadiiveres@example.org
Пʼятаченко,Кирило,Ростиславович,male,1967.11.3,Продюсер,набережна Пестел,"набережна Пестеля, буд. 6, Белз, 64859",380800750062,terezaiashchenko@example.net
Носаченко,Богданна,Богданівна,female,1983.4.28,Фармацевт,набережна Тимірязєва 4-,"набережна Тимірязєва 4-й, буд. 483, Дунаївці, 39043",380769194432,fursvalentyna@example.net
Чекалюк,Назар,Богданович,male,2000.7.20,Геолог,парк Сегедськ,"парк Сегедська, буд. 6, Острог, 37539",380628328529,khoma31@example.org
Царенко,Панас,Едуардович,male,1985.3.27,Випробувач,вулиця Кипарисний 2-,"вулиця Кипарисний 2-й, буд. 9 кв. 50, Роздільна, 90495",380968367500,sviatoslav75@example.org
Масляк,Тетяна,Орхипівна,female,1973.1.4,Педагог,узвіз Ялинков,"узвіз Ялинкова, буд. 8 кв. 8, Підгайці, 67213",380822514652,tsarenkoteodor@example.net
Худобʼяк,Захар,Альбертович,male,1989.10.11,Фотограф,площа Ліверпульськи,"площа Ліверпульський, буд. 766, Судова Вишня, 34125",380962560962,amaliiakonoplia@example.net
Даньків,Ганна,Михайлівна,female,2004.3.3,Ходить в університет,шосе Педагогічни,"шосе Педагогічний, буд. 34 кв. 13, Липовець, 16469",380728987210,arsenzasiadko@example.net
Вдовенко,Мирон,Охрімович,male,1977.6.3,Кінокритик,провулок Абрикосови,"провулок Абрикосовий, буд. 7, Зимогір'я, 66989",380993252446,avhustyn20@example.com
Яремко,Яків,Борисович,male,1973.8.21,Стропальник,проспект Уютн,"проспект Уютна, буд. 64 кв. 883, Корюківка, 48347",380873299335,ostap77@example.org
Венгринович,Ірина,Євгенівна,female,1999.7.27,Зоолог,проспект Троїцьк,"проспект Троїцька, буд. 422, Пирятин, 69742",380634869234,petrenkoanton@example.org
Дробаха,Геннадій,Климентович,male,1997.1.6,Бібліотекар,шосе Амурський 3-,"шосе Амурський 3-й, буд. 86, Балта, 59075",380734760177,maksym03@example.net
Жук,Соломія,Германівна,female,1966.8.14,Парфюмер,площа Естонськи,"площа Естонський, буд. 11 кв. 34, Олександрія, 33110",380663751788,semen55@example.net
Цісик,Кирило,Охрімович,male,1968.7.6,Швачка,сквер Черняховськог,"сквер Черняховського, буд. 3 кв. 616, Хрустальний, 72669",380500427953,feofanzasukha@example.net
